cluster,rank,rule,activation_rate
0,1,WOODEN STAR CHRISTMAS SCANDINAVIAN -> WOODEN TREE CHRISTMAS SCANDINAVIAN,2.4629946
0,2,WOODEN HEART CHRISTMAS SCANDINAVIAN -> WOODEN STAR CHRISTMAS SCANDINAVIAN,2.1634097
0,3,WOODEN HEART CHRISTMAS SCANDINAVIAN -> WOODEN TREE CHRISTMAS SCANDINAVIAN,2.1074371
0,4,WOODEN STAR CHRISTMAS SCANDINAVIAN -> WOODEN HEART CHRISTMAS SCANDINAVIAN,2.0989373
0,5,"WOODEN HEART CHRISTMAS SCANDINAVIAN, WOODEN STAR CHRISTMAS SCANDINAVIAN -> WOODEN TREE CHRISTMAS SCANDINAVIAN",2.004456
1,1,HERB MARKER THYME -> HERB MARKER ROSEMARY,70.829834
1,2,HERB MARKER ROSEMARY -> HERB MARKER THYME,70.24446
1,3,HERB MARKER PARSLEY -> HERB MARKER CHIVES ,69.8738
1,4,"HERB MARKER PARSLEY, HERB MARKER THYME -> HERB MARKER ROSEMARY",69.45423
1,5,HERB MARKER THYME -> HERB MARKER PARSLEY,69.414604
